FMEL_UPD_D,Feature ID,Geometry Type,INC_CRC,Name,Point Order,SUBID,Sub Feature ID,X,X_COORD,Y,Y_COORD,address_type,blk_no,building,clinic_programme_code,floor_no,hci_code,hci_name,hci_tel,licence_type,postal,street_name,unit_no
20210926121846,0,Point,781AF3FC7E4D0301,kml_1,0,0_0,0,103.678409741881,10760.19030171,1.32561767794228,34206.12386783,B,1,FAIRPRICE HUB,"CDMP,CHAS",01,15M0211,Acumed Medical Group,68615755,MC,629117,JOO KOON CIRCLE,23
20210926121846,1,Point,4132D1A643933D75,kml_2,0,1_0,1,103.626524577792,4985.53397365,1.28909462597839,30167.98804538,B,128,JTC BIOMED ONE @ TUAS BIOMEDICAL PARK,"CDMP,CHAS",01,16M0004,Acumed Medical Group,65701390,MC,637370,TUAS SOUTH AVENUE 3,03
20210926121846,2,Point,1429766D7056AA8D,kml_3,0,2_0,2,103.795692352825,23812.58956922,1.33081740087421,34780.57533007,B,1,GUTHRIE HOUSE,CHAS,03,21M0229,Advantage Medical Clinic,87840093,MC,268802,FIFTH AVENUE,12
20210926121846,3,Point,25E32F8453AEABFD,kml_4,0,3_0,3,103.870851534198,32176.99089858,1.35403939788243,37348.34529089,A,253,,"CDMP,CHAS,ISP",01,19M0160,Affinity Medical Clinic,62808080,MC,550253,SERANGOON CENTRAL DRIVE,187
20210926121846,4,Point,E04B63460D9DF892,kml_5,0,4_0,4,103.853929522028,30293.80179285,1.31247324146379,32752.14975386,B,1,CONNEXION,"CDMP,CHAS",14,9404401,"Allergy, Arthritis & Rheumatism Clinic",64749438,MD,217562,FARRER PARK STATION ROAD,13
20210926121846,5,Point,5B0B49E22956F1B3,kml_6,0,5_0,5,103.931626253574,38940.52504647,1.35522647099143,37479.79536068,A,872C,,CHAS,01,17M0228,Allhealth Family Clinic,67026467,MC,523872,TAMPINES STREET 86,01
20210926121846,6,Point,C5F9B14203C0367F,kml_7,0,6_0,6,103.798227586732,24094.68699586,1.29996199426432,31368.73817961,A,46-2,,"CDMP,CHAS,ISP",01,19M0341,Ally Health,66977700,MC,140462,COMMONWEALTH DRIVE,372
20210926121846,7,Point,4A712102C8E400A3,kml_8,0,7_0,7,103.845949444676,29405.66118025,1.37193729089468,39327.37454678,,4190,BROADWAY PLAZA,"CDMP,CHAS,ISP",03,16M0043,Ang Mo Kio Family Medicine Clinic,65541133,MC,569841,ANG MO KIO AVENUE 6,01
20210926121846,8,Point,7E06EFB3781F029E,kml_9,0,8_0,8,103.882455638548,33468.48699051,1.31277604579897,32785.67660058,,1,GRANDVIEW SUITES,CHAS,01,16C0397,Anteh Dispensary Pte Ltd,67440040,MC,398664,LORONG 22 GEYLANG,02
20210926121846,9,Point,68380F0447C3CEAD,kml_10,0,9_0,9,103.855103690664,30424.4244873,1.36454170930926,38509.61595566,A,416,TECK GHEE HEARTLANDS,"CDMP,CHAS,ISP",01,20M0227,Appletree Medical Centre,64548361,MC,560416,ANG MO KIO AVENUE 10,997
20210926121846,10,Point,83128B834E1E0719,kml_11,0,10_0,10,103.784158787813,22529.02868325,1.33356161107492,35084.03871453,B,989,MAPLEWOODS,"CDMP,CHAS,ISP",,14M0385,Aris Medical Clinic,64631197,MC,589629,BUKIT TIMAH ROAD,
20210926121846,11,Point,7D947E8848FCBA14,kml_12,0,11_0,11,103.833962340221,28071.64465507,1.30450604608539,31871.16894201,B,304,LUCKY PLAZA,"CDMP,CHAS",05,9404842,Asia HealthPartners,62357888,MC,238863,ORCHARD ROAD,06
20210926121846,12,Point,A9343D9D499713BE,kml_13,0,12_0,12,103.836723874387,28378.95761251,1.43576080433402,46384.65236368,A,291,,"CDMP,CHAS",01,12C0249,Atrio Family Clinic,67520838,MC,760291,YISHUN STREET 22,349
20210926121846,13,Point,847A1CC60B7C7509,kml_14,0,13_0,13,103.738145286322,17408.24358642,1.34302644245796,36130.76291904,A,252,,"CDMP,CHAS",01,9400088,B S CHEW CLINIC,65678803,MC,600252,JURONG EAST ST 24,109
20210926121846,14,Point,CFF27F8EAEA0CE95,kml_15,0,14_0,14,103.858181908966,30767.03163903,1.33093933661869,34794.04031503,A,194,,"CDMP,CHAS",01,9400089,B T GOH FAMILY CLINIC & SURGERY,63544535,MC,310194,KIM KEAT AVE,406
20210926121846,15,Point,DCE856F058F0AA59,kml_16,0,15_0,15,103.914941831149,37083.81960926,1.33295923548327,35017.52690881,A,631,,"CDMP,CHAS,ISP",01,9400097,BALKIS FAMILY CLINIC,96153314,MC,470631,BEDOK RESERVOIR RD,968
20210926121846,16,Point,01777069BDB980A4,kml_17,0,16_0,16,103.932493034946,39037.11941425,1.32587565153874,34234.33096507,A,214,,"CDMP,CHAS",01,9404456,BEDOK  CENTRAL CLINIC,62424489,MC,460214,BEDOK NORTH STREET 1,161
20210926121846,17,Point,9EC430F002804A4E,kml_18,0,17_0,17,103.935563486314,39378.85624037,1.32014882956642,33601.10134855,A,17,,"CDMP,CHAS",01,9400102,BEDOK CLINIC & SURGERY(Family Medical Centre),62410943,MC,460017,BEDOK SOUTH RD,565
20210926121846,18,Point,4F4C861CB2B10103,kml_19,0,18_0,18,103.937343348132,39576.89557166,1.32919868633173,34601.79793826,,123,,"CDMP,CHAS",01,9400105,BEDOK LIFE CLINIC,64431398,MC,460123,BEDOK NORTH ST 2,160
20210926121846,19,Point,3B0214631DD16A49,kml_20,0,19_0,19,103.934734222327,39286.5650113,1.3206250489608,33653.75547249,A,18,,"CDMP,CHAS,ISP",01,18C0287,BEDOK MEDICAL CENTRE,62414111,MC,460018,BEDOK SOUTH RD,57
20210926121846,20,Point,E8DC3D2A42ACA2CF,kml_21,0,20_0,20,103.871622627508,32262.86125919,1.32130110237378,33728.3126899,B,541,GEYLANG BAHRU MRT STATION,"CDMP,CHAS,ISP",B1,21M0022,BELIEF FAMILY CLINIC,65924667,MC,339355,KALLANG BAHRU,02
20210926121846,21,Point,43668058F2BD96A9,kml_22,0,21_0,21,103.786935926533,22838.10133046,1.33643632274992,35401.90369646,B,23,,CHAS,,20M0326,BINJAI MEDICAL & PAINCARE CLINIC,64693737,MC,589828,BINJAI PARK,
20210926121846,22,Point,ADDA535E9E530626,kml_23,0,22_0,22,103.855213610026,30436.67723952,1.34452706925104,36296.49922899,A,150,,"CDMP,CHAS",01,12C0198,BISHAN GRACE CLINIC,62542232,MC,570150,BISHAN STREET 11,151
20210926121846,23,Point,D2E1176686F0E923,kml_24,0,23_0,23,103.784855036241,22606.42219234,1.29076149231466,30351.41838298,B,2,ASCENT,"CDMP,CHAS",01,9403277,BL MEDICAL ASSOCIATES,62651052,MC,118222,SCIENCE PARK DRIVE,10
